Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Duration in Current address,Age (years),Creditability
1,18,4,1049,1,2,4,4,21,1
1,9,4,2799,1,3,2,2,36,1
2,12,2,841,2,4,2,4,23,1
1,12,4,2122,1,3,3,2,39,1
1,12,4,2171,1,3,4,4,38,1
1,10,4,2241,1,2,1,3,48,1
1,8,4,3398,1,4,1,4,39,1
1,6,4,1361,1,2,2,4,40,1
4,18,4,1098,1,1,4,4,65,1
2,24,2,3758,3,1,1,4,23,1
1,11,4,3905,1,3,2,2,36,1
1,30,4,6187,2,4,1,4,24,1
1,6,4,1957,1,4,1,4,31,1
2,48,3,7582,2,1,2,4,31,1
1,18,2,1936,5,4,2,4,23,1
1,6,2,2647,3,3,2,3,44,1
1,11,4,3939,1,3,1,2,40,1
2,18,2,3213,3,2,1,3,25,1
2,36,4,2337,1,5,4,4,36,1
4,11,4,7228,1,3,1,4,39,1
1,6,4,3676,1,3,1,3,37,1
2,12,4,3124,1,2,1,3,49,1
2,36,2,2384,1,2,4,1,33,0
2,12,4,1424,1,4,4,3,26,1
1,6,4,4716,5,2,1,3,44,1
2,11,3,4771,1,4,2,4,51,1
1,12,2,652,1,5,4,4,24,1
2,9,4,1154,1,5,2,4,37,1
4,15,2,3556,5,3,3,2,29,1
3,42,4,4796,1,5,4,4,56,1
3,30,4,3017,1,5,4,4,47,1
4,36,4,3535,1,4,4,4,37,1
4,36,4,6614,1,5,4,4,34,1
4,24,2,1376,3,4,4,1,28,1
1,15,2,1721,1,2,2,3,36,1
1,6,4,860,1,5,1,4,39,1
4,12,4,1495,1,5,4,1,38,1
4,12,4,1934,1,5,2,2,26,1
4,18,2,3378,5,3,2,1,31,1
4,24,4,3868,1,5,4,2,41,1
4,12,4,996,5,4,4,4,23,1
1,24,2,1755,1,5,4,4,58,1
4,18,4,1028,1,3,4,3,36,1
2,24,4,2825,5,4,4,3,34,1
2,18,2,1239,5,3,4,4,61,1
1,18,2,1216,1,2,4,3,23,0
4,24,2,1258,1,4,4,1,25,1
4,18,4,1864,2,3,4,2,30,0
4,24,2,1474,2,2,4,3,33,1
1,24,4,1382,2,4,4,1,26,1
4,12,2,640,1,3,4,2,49,1
3,36,2,3919,1,3,2,2,23,1
4,9,4,1224,1,3,3,1,30,1
4,12,4,2331,5,5,1,4,49,1
4,24,2,6313,5,5,3,4,41,1
1,12,4,385,1,4,4,3,58,1
4,12,4,1655,1,5,2,4,63,1
