,sex,age,n_siblings_spouses,parch,fare,class,embark_town,alone,predict,survived,x,y,predict0,predict1
0,1,22.0,1,0,7.25,2,2,0,0,0,-15.167065620422363,16.268640518188477,0.8104358567373725,0.18956414326262738
1,0,38.0,1,0,71.2833,0,0,0,1,1,1.690396785736084,-37.12971878051758,0.12300142386382473,0.8769985761361749
2,0,26.0,0,0,7.925,2,2,1,0,1,-8.310794830322266,20.847658157348633,0.50524199486033,0.4947580051396701
3,0,35.0,1,0,53.1,0,2,0,1,1,0.1410437822341919,-31.1699161529541,0.1918965433500088,0.8081034566499915
4,1,28.0,0,0,8.4583,2,1,1,0,0,3.273226499557495,28.994422912597656,0.839392159399257,0.16060784060074312
5,1,2.0,3,1,21.075,2,2,0,0,0,-16.14621353149414,-6.426573276519775,0.7565881848603353,0.24341181513966476
6,0,27.0,0,2,11.1333,2,2,0,1,1,1.8538423776626587,16.755680084228516,0.4457360371721827,0.5542639628278174
7,0,14.0,1,0,30.0708,1,0,0,1,1,-11.399324417114258,-8.867547988891602,0.1896232939012807,0.8103767060987194
8,0,4.0,1,1,16.7,2,2,0,1,1,-16.54128646850586,-4.821793079376221,0.34486562891932765,0.6551343710806724
9,1,20.0,0,0,8.05,2,2,1,0,0,-16.45001792907715,12.66456127166748,0.861181063190607,0.1388189368093931
10,1,39.0,1,5,31.275,2,2,0,0,0,5.629319667816162,-12.680733680725098,0.7923302416704544,0.20766975832954537
11,0,14.0,0,0,7.8542,2,2,1,1,0,-19.629695892333984,7.371803283691406,0.49360606321076667,0.5063939367892334
12,1,2.0,4,1,29.125,2,1,0,0,0,-15.069780349731445,-8.46845531463623,0.8697986924657559,0.13020130753424403
13,1,28.0,0,0,13.0,1,2,1,0,1,3.2299118041992188,10.0452241897583,0.7646083370146833,0.2353916629853167
14,0,31.0,1,0,18.0,2,2,0,1,0,4.186262607574463,6.071047306060791,0.43790118233253195,0.562098817667468
15,0,28.0,0,0,7.225,2,0,1,1,1,3.248948097229004,34.502647399902344,0.3940071612399904,0.6059928387600096
16,1,35.0,0,0,26.0,1,2,1,0,0,4.509873867034912,-9.38129711151123,0.7559052670959181,0.244094732904082
17,1,28.0,0,0,35.5,0,2,1,0,1,-1.4445455074310303,-13.043651580810547,0.6076914045628251,0.39230859543717495
18,0,38.0,1,5,31.3875,2,2,0,0,1,5.409918785095215,-12.67663288116455,0.5960665312308651,0.40393346876913483
19,1,28.0,0,0,7.225,2,0,1,0,0,6.387592792510986,31.156347274780273,0.8204635718504611,0.17953642814953902
20,1,19.0,3,2,263.0,0,2,0,0,0,5.216006755828857,-50.44063186645508,0.6593991530896297,0.3406008469103702
21,0,28.0,0,0,7.8792,2,1,1,1,1,1.3826943635940552,34.47529220581055,0.4448042122112102,0.5551957877887899
22,1,28.0,0,0,7.8958,2,2,1,0,0,2.088674306869507,23.950401306152344,0.8766561437728937,0.12334385622710636
23,1,40.0,0,0,27.7208,0,0,1,0,0,6.957093238830566,-11.207202911376953,0.6076344370189659,0.3923655629810339
24,0,28.0,1,0,146.5208,0,0,0,1,1,4.3336262702941895,-46.050838470458984,0.10087564181540758,0.899124358184592
25,0,28.0,0,0,7.75,2,1,1,1,1,1.9212875366210938,34.94600296020508,0.4449925928995909,0.5550074071004092
26,1,66.0,0,0,10.5,1,2,1,0,0,18.760805130004883,2.531886339187622,0.7928192007586625,0.2071807992413374
27,1,28.0,1,0,82.1708,0,0,0,0,0,0.5005728602409363,-39.3736572265625,0.5043939646211887,0.4956060353788115
28,1,42.0,1,0,52.0,0,2,0,0,0,2.3812808990478516,-31.302928924560547,0.6130417486170588,0.38695825138294104
29,1,28.0,0,0,7.2292,2,0,1,0,1,6.273782730102539,32.50221633911133,0.8199080162949056,0.18009198370509452
30,0,14.0,1,0,11.2417,2,0,0,1,1,-16.758440017700195,6.014257431030273,0.3436576261684125,0.6563423738315873
31,0,40.0,1,0,9.475,2,2,0,0,0,14.542292594909668,8.423069953918457,0.5459748487031003,0.4540251512968997
32,0,27.0,1,0,21.0,1,2,0,1,0,-0.17806348204612732,-4.555322170257568,0.2778417645084875,0.7221582354915129
33,1,28.0,0,0,7.8958,2,0,1,0,0,5.537508487701416,31.54671287536621,0.7975042376122764,0.20249576238772385
