id,sex,age,n_siblings_spouses,parch,fare,class,embark_town,alone,predict,survived,x,y,predict0,predict1
0,1,22.0,1,0,7.25,2,2,0,0,0,-2.2803800106048584,26.490480422973633,0.8104358567373725,0.18956414326262738
1,0,38.0,1,0,71.2833,0,0,0,1,1,-8.502184867858887,12.149324417114258,0.12300142386382473,0.8769985761361749
2,0,26.0,0,0,7.925,2,2,1,0,1,6.361397743225098,-12.150400161743164,0.50524199486033,0.4947580051396701
3,0,35.0,1,0,53.1,0,2,0,1,1,-11.303133964538574,16.659040451049805,0.1918965433500088,0.8081034566499915
4,1,28.0,0,0,8.4583,2,1,1,0,0,11.930418014526367,3.0832836627960205,0.839392159399257,0.16060784060074312
5,1,2.0,3,1,21.075,2,2,0,0,0,3.948575019836426,21.18182945251465,0.7565881848603353,0.24341181513966476
6,0,27.0,0,2,11.1333,2,2,0,1,1,-17.895851135253906,16.981029510498047,0.4457360371721827,0.5542639628278174
7,0,14.0,1,0,30.0708,1,0,0,1,1,-9.406708717346191,13.354522705078125,0.1896232939012807,0.8103767060987194
8,0,4.0,1,1,16.7,2,2,0,1,1,-19.833158493041992,13.909167289733887,0.34486562891932765,0.6551343710806724
9,1,20.0,0,0,8.05,2,2,1,0,0,32.226444244384766,0.7430588603019714,0.861181063190607,0.1388189368093931
10,1,39.0,1,5,31.275,2,2,0,0,0,2.457587718963623,22.473779678344727,0.7923302416704544,0.20766975832954537
11,0,14.0,0,0,7.8542,2,2,1,1,0,5.703330993652344,-11.721064567565918,0.49360606321076667,0.5063939367892334
12,1,2.0,4,1,29.125,2,1,0,0,0,4.586016654968262,18.86470603942871,0.8697986924657559,0.13020130753424403
13,1,28.0,0,0,13.0,1,2,1,0,1,-5.062486171722412,-27.833942413330078,0.7646083370146833,0.2353916629853167
14,0,31.0,1,0,18.0,2,2,0,1,0,-14.766603469848633,20.61964988708496,0.43790118233253195,0.562098817667468
15,0,28.0,0,0,7.225,2,0,1,1,1,2.24751877784729,-7.9190287590026855,0.3940071612399904,0.6059928387600096
16,1,35.0,0,0,26.0,1,2,1,0,0,-6.681730270385742,-26.883102416992188,0.7559052670959181,0.244094732904082
17,1,28.0,0,0,35.5,0,2,1,0,1,-21.40400505065918,-12.127697944641113,0.6076914045628251,0.39230859543717495
18,0,38.0,1,5,31.3875,2,2,0,0,1,-20.164852142333984,13.99755859375,0.5960665312308651,0.40393346876913483
19,1,28.0,0,0,7.225,2,0,1,0,0,9.427702903747559,2.3703083992004395,0.8204635718504611,0.17953642814953902
20,1,19.0,3,2,263.0,0,2,0,0,0,-1.5524789094924927,16.47370147705078,0.6593991530896297,0.3406008469103702
21,0,28.0,0,0,7.8792,2,1,1,1,1,3.510965347290039,-7.504089832305908,0.4448042122112102,0.5551957877887899
22,1,28.0,0,0,7.8958,2,2,1,0,0,27.47298812866211,-10.67617130279541,0.8766561437728937,0.12334385622710636
23,1,40.0,0,0,27.7208,0,0,1,0,0,-10.680906295776367,-12.795536041259766,0.6076344370189659,0.3923655629810339
24,0,28.0,1,0,146.5208,0,0,0,1,1,-8.722831726074219,12.048254013061523,0.10087564181540758,0.899124358184592
25,0,28.0,0,0,7.75,2,1,1,1,1,3.4236457347869873,-7.948764801025391,0.4449925928995909,0.5550074071004092
26,1,66.0,0,0,10.5,1,2,1,0,0,-9.008428573608398,-27.7401123046875,0.7928192007586625,0.2071807992413374
27,1,28.0,1,0,82.1708,0,0,0,0,0,-5.23161506652832,15.670477867126465,0.5043939646211887,0.4956060353788115
28,1,42.0,1,0,52.0,0,2,0,0,0,-5.916648864746094,21.075305938720703,0.6130417486170588,0.38695825138294104
29,1,28.0,0,0,7.2292,2,0,1,0,1,9.277499198913574,1.6204899549484253,0.8199080162949056,0.18009198370509452
30,0,14.0,1,0,11.2417,2,0,0,1,1,-18.000497817993164,21.083709716796875,0.3436576261684125,0.6563423738315873
31,0,40.0,1,0,9.475,2,2,0,0,0,-14.772007942199707,20.58354949951172,0.5459748487031003,0.4540251512968997
